TransactionID,CustomerID,Product,Category,Quantity,Price,TransactionDate,Region
TXN00001,CUST0052,Camera,Electronics,1,1489.74,2021-12-04,North
TXN00002,CUST0093,Monitor,,2,1364.68,12/04/2022,East
TXN00003,CUST0015,Smartphone,Accessories,1,1004.3,27/01/2022,East
TXN00004,CUST0072,Mouse,,1,91.89,22/10/2022,South
TXN00005,CUST0061,Laptop,Accessories,3,1719.75,17/05/2021,
TXN00006,CUST0021,Monitor,Accessories,2,1108.25,06/10/2021,South
TXN00007,CUST0083,Mouse,Gadgets,4,645.56,26/12/2022,East
TXN00008,CUST0087,Tablet,,4,572.66,01/09/2021,North
TXN00009,CUST0075,Headphones,Accessories,3,1687.33,22/07/2021,
TXN00010,CUST0075,Laptop,,3,647.58,05/01/2022,North
TXN00011,CUST0088,Monitor,,2,1644.28,15/06/2022,West
TXN00012,CUST0100,Keyboard,,4,1091.2,04/07/2022,South
TXN00013,CUST0024,Headphones,Gadgets,4,1754.99,23/12/2021,North
TXN00014,CUST0003,Tablet,Electronics,4,462.45,2021-03-31,East
TXN00015,CUST0022,Mouse,Electronics,1,622.11,25/10/2022,
TXN00016,CUST0053,Mouse,,4,412.34,30/10/2021,East
TXN00017,CUST0002,Mouse,Electronics,1,1151.68,11/03/2021,
TXN00018,CUST0088,Headphones,Accessories,2,1554.21,2022-12-24,South
TXN00019,CUST0030,Smartphone,Gadgets,1,1912.48,28/09/2021,
TXN00020,CUST0038,Tablet,Gadgets,2,1418.37,06/02/2021,West
TXN00021,CUST0002,Mouse,Electronics,4,86.31,21/11/2022,South
TXN00022,CUST0064,Monitor,,4,1630.49,01/07/2021,
TXN00023,CUST0060,Smartphone,Electronics,2,1167.77,26/09/2021,South
TXN00024,CUST0021,Mouse,,3,1535.38,18/09/2022,West
TXN00025,CUST0033,Keyboard,Accessories,2,1773.03,01/02/2021,North
TXN00026,CUST0076,Smartphone,Accessories,3,185.42,15/02/2022,South
TXN00027,CUST0058,Mouse,,1,1576.73,04/05/2022,
TXN00028,CUST0022,Monitor,Electronics,1,1195.59,03/08/2021,West
TXN00029,CUST0089,Keyboard,,1,1263.5,16/02/2022,North
TXN00030,CUST0049,Headphones,Gadgets,4,389.7,06/10/2022,East
TXN00031,CUST0091,Smartphone,,1,752.92,26/04/2021,South
TXN00032,CUST0059,Smartphone,Accessories,3,990.77,09/01/2021,South
TXN00033,CUST0042,Laptop,,1,867.19,02/11/2021,South
TXN00034,CUST0092,Mouse,Electronics,2,371.85,13/02/2022,South
TXN00035,CUST0060,Camera,Electronics,2,724.2,21/12/2021,West
TXN00036,CUST0080,Headphones,Accessories,4,235.92,05/02/2021,South
TXN00037,CUST0015,Keyboard,Gadgets,2,839.03,01/04/2022,
TXN00038,CUST0062,Camera,Accessories,3,303.15,04/01/2021,East
TXN00039,CUST0062,Keyboard,,1,1245.36,27/08/2021,North
TXN00040,CUST0047,Tablet,Electronics,4,771.66,13/12/2021,East
TXN00041,CUST0062,Mouse,Gadgets,1,827.93,31/12/2022,North
TXN00042,CUST0051,Headphones,Accessories,1,254.81,23/07/2021,West
TXN00043,CUST0055,Keyboard,,3,422.08,19/10/2021,West
TXN00044,CUST0064,Tablet,Gadgets,2,1479.49,14/10/2022,
TXN00045,CUST0003,Headphones,Electronics,2,1981.32,26/06/2022,West
TXN00046,CUST0051,Headphones,Electronics,1,1625.08,21/04/2021,
TXN00047,CUST0007,Mouse,,4,483.26,20/10/2021,West
TXN00048,CUST0021,Laptop,Gadgets,2,932.76,17/11/2022,West
TXN00049,CUST0073,Laptop,,4,1604.39,08/06/2021,North
TXN00050,CUST0039,Camera,,2,1315.99,01/06/2022,North
TXN00051,CUST0018,Mouse,Electronics,4,894.39,21/05/2021,South
TXN00052,CUST0004,Tablet,,3,1137.07,22/11/2021,South
TXN00053,CUST0089,Mouse,Accessories,4,1694.03,11/03/2022,
TXN00054,CUST0060,Keyboard,Electronics,3,431.69,13/08/2022,North
TXN00055,CUST0014,Smartphone,Accessories,3,1088.46,15/10/2021,East
TXN00056,CUST0009,Laptop,Accessories,4,1808.91,2021-01-28,West
TXN00057,CUST0090,Camera,,3,1926.81,21/12/2021,West
TXN00058,CUST0053,Keyboard,Electronics,1,1256.23,03/12/2022,North
TXN00059,CUST0002,Camera,Electronics,3,896.17,02/08/2021,East
TXN00060,CUST0084,Laptop,Gadgets,2,645.86,15/11/2021,East
TXN00061,CUST0092,Headphones,,4,1102.66,02/04/2021,
TXN00062,CUST0060,Laptop,Gadgets,1,54.73,18/09/2021,West
TXN00063,CUST0071,Laptop,Accessories,4,538.67,01/12/2022,
TXN00064,CUST0044,Mouse,Accessories,2,1570.13,16/12/2022,
TXN00065,CUST0008,Tablet,Gadgets,2,301.63,10/06/2022,South
TXN00066,CUST0047,Monitor,Gadgets,2,1606.67,30/05/2021,East
TXN00067,CUST0035,Tablet,Accessories,3,768.89,2021-11-18,West
TXN00068,CUST0078,Tablet,Electronics,3,406.09,19/05/2021,North
TXN00069,CUST0081,Tablet,Gadgets,4,643.9,31/07/2021,North
